matricula,data,codigo_situacao
29439,10/12/2025,15
28772,10/12/2025,15
28748,10/12/2025,15
28746,10/12/2025,15
28647,10/12/2025,15
28341,10/12/2025,15
28240,10/12/2025,15
28226,10/12/2025,15
28221,10/12/2025,15
27483,10/12/2025,15
27445,10/12/2025,15
27108,10/12/2025,15
26077,10/12/2025,15
26005,10/12/2025,15
25766,10/12/2025,15
25755,10/12/2025,15
25633,10/12/2025,15
25576,10/12/2025,15
22552,10/12/2025,15
22551,10/12/2025,15
22413,10/12/2025,15
21734,10/12/2025,15
20504,10/12/2025,15
19780,10/12/2025,15
19673,10/12/2025,15
18552,10/12/2025,15
15928,10/12/2025,15
15793,10/12/2025,15
15167,10/12/2025,15
14928,10/12/2025,15
11312,10/12/2025,15
9630,10/12/2025,15
37636,09/12/2025,15
37635,09/12/2025,15
37632,09/12/2025,15
37624,09/12/2025,15
37012,09/12/2025,15
36980,09/12/2025,15
36938,09/12/2025,15
36936,09/12/2025,15
36928,09/12/2025,15
36756,09/12/2025,15
36750,09/12/2025,15
36742,09/12/2025,15
36631,09/12/2025,15
36553,09/12/2025,15
36476,09/12/2025,15
36475,09/12/2025,15
36445,09/12/2025,15
36404,09/12/2025,15
36331,09/12/2025,15
36303,09/12/2025,15
36218,09/12/2025,15
35548,09/12/2025,15
35496,09/12/2025,15
35453,09/12/2025,15
35408,09/12/2025,15
35260,09/12/2025,15
35255,09/12/2025,15
35223,09/12/2025,15
35167,09/12/2025,15
35091,09/12/2025,15
35079,09/12/2025,15
35078,09/12/2025,15
35067,09/12/2025,15
35052,09/12/2025,15
35048,09/12/2025,15
35010,09/12/2025,15
34979,09/12/2025,15
34653,09/12/2025,15
34470,09/12/2025,15
34404,09/12/2025,15
34399,09/12/2025,15
34398,09/12/2025,15
34187,09/12/2025,15
34165,09/12/2025,15
34108,09/12/2025,15
34057,09/12/2025,15
33749,09/12/2025,15
33474,09/12/2025,15
33468,09/12/2025,15
33361,09/12/2025,15
33347,09/12/2025,15
33311,09/12/2025,15
33301,09/12/2025,15
33199,09/12/2025,15
33115,09/12/2025,15
33108,09/12/2025,15
32861,09/12/2025,15
32790,09/12/2025,15
32785,09/12/2025,15
32716,09/12/2025,15
32677,09/12/2025,15
32548,09/12/2025,15
32333,09/12/2025,15
32139,09/12/2025,15
32135,09/12/2025,15
32103,09/12/2025,15
31489,09/12/2025,15
31483,09/12/2025,15
31325,09/12/2025,15
30922,09/12/2025,15
30760,09/12/2025,15
30349,09/12/2025,15
30325,09/12/2025,15
29857,09/12/2025,15
29517,09/12/2025,15
29439,09/12/2025,15
28761,09/12/2025,15
28746,09/12/2025,15
28647,09/12/2025,15
28259,09/12/2025,15
28240,09/12/2025,15
28226,09/12/2025,15
28221,09/12/2025,15
27504,09/12/2025,15
27445,09/12/2025,15
27211,09/12/2025,15
27057,09/12/2025,15
26578,09/12/2025,15
25812,09/12/2025,15
25755,09/12/2025,15
25668,09/12/2025,15
25656,09/12/2025,15
25576,09/12/2025,15
22726,09/12/2025,15
19780,09/12/2025,15
19293,09/12/2025,15
18552,09/12/2025,15
18332,09/12/2025,15
15475,09/12/2025,15
15167,09/12/2025,15
